index,code,kind,title,group,cue,seconds
1,eP001,phrase,Wake up!,Greetings,,1.623
2,eP002,phrase,Wake up!,Greetings,,2.657
3,eP003,phrase,Belle says something,Belle talks,,2.656
4,eP004,phrase,Wake up!,Greetings,,1.326
5,eP005,phrase,Wake up!,Greetings,,1.749
6,eP006,phrase,Belle chatter,Chatter,,3.185
8,eP008,phrase,Belle chatter,Chatter,,2.594
9,eP009,phrase,Belle chatter,Chatter,,1.805
10,eP010,phrase,Belle says something,Belle talks,,2.258
11,eP011,phrase,Belle chatter,Chatter,,3.737
12,eP012,phrase,Belle chatter,Chatter,,5.369
13,eP013,phrase,Belle chatter,Chatter,,5.195
14,eP014,phrase,Belle chatter,Chatter,,2.130
15,eP015,phrase,Belle chatter,Chatter,,2.030
16,eP016,phrase,Belle chatter,Chatter,,1.135
17,eP017,phrase,Belle says something,Belle talks,,1.843
18,eP018,phrase,Belle chatter,Chatter,,2.982
19,eP019,phrase,Belle chatter,Chatter,,3.499
20,eP020,phrase,Belle chatter,Chatter,,4.471
21,eP021,phrase,Belle chatter,Chatter,,3.266
22,eP022,phrase,Belle chatter,Chatter,,3.938
23,eP023,phrase,Belle chatter,Chatter,,3.822
24,eP024,phrase,Belle chatter,Chatter,,3.455
25,eP025,phrase,Belle chatter,Chatter,,4.739
26,eP026,phrase,Belle chatter,Chatter,,4.367
27,eP027,phrase,Belle says something,Belle talks,,4.558
28,eP028,phrase,Belle chatter,Chatter,,4.403
29,eP029,phrase,Belle chatter,Chatter,,4.840
31,eP031,phrase,Belle chatter,Chatter,,4.867
32,eP032,phrase,Belle chatter,Chatter,,2.750
33,eP033,phrase,Belle says something,Belle talks,,4.916
37,eP037,phrase,Goodnight,Sleepy,,2.498
38,eP038,phrase,Goodnight,Sleepy,,3.078
39,eP039,phrase,Goodnight,Sleepy,,3.291
40,eP040,phrase,Goodnight,Sleepy,,4.028
41,eP041,phrase,Goodnight,Sleepy,,3.824
42,eP042,phrase,Goodnight,Sleepy,,2.812
43,eP043,phrase,Goodnight,Sleepy,,3.697
60,eP060,phrase,Hello!,Greetings,,2.222
61,eP061,phrase,Hello!,Greetings,,1.989
62,eP062,phrase,Hello!,Greetings,,1.202
63,eP063,phrase,Hello!,Greetings,,1.284
64,eP064,phrase,Hello!,Greetings,,2.744
65,eP065,phrase,Belle says something,Belle talks,,4.037
66,eP066,phrase,Belle says something,Belle talks,,3.166
67,eP067,phrase,Belle says something,Belle talks,,3.414
68,eP068,phrase,Belle says something,Belle talks,,2.022
69,eP069,phrase,Belle says something,Belle talks,,2.973
70,eP070,phrase,Dance intro,Dances,,1.228
71,eP071,phrase,Dance intro,Dances,,1.264
72,eP072,phrase,Dance intro,Dances,,1.761
73,eP073,phrase,Dance name,Dances,,1.493
74,eP074,phrase,Dance name,Dances,,1.817
76,eP076,phrase,Dance name,Dances,,1.558
77,eP077,phrase,Dance name,Dances,,1.876
78,eP078,phrase,Dance name,Dances,,1.639
79,eP079,phrase,Dance name,Dances,,1.349
80,eP080,phrase,Dance name,Dances,,1.699
81,eP081,phrase,Dance name,Dances,,1.714
82,eP082,phrase,Dance name,Dances,,1.785
83,eP083,phrase,Dance name,Dances,,1.846
84,eP084,phrase,Cue: Dance!,Cues,Dance,1.638
85,eP085,phrase,Cue: Dance!,Cues,Dance,2.579
86,eP086,phrase,Cue: Dance!,Cues,Dance,2.590
87,eP087,phrase,Cue: Dance!,Cues,Dance,2.313
88,eP088,phrase,Cue: Dance!,Cues,Dance,2.576
89,eP089,phrase,Cue: Dance!,Cues,Dance,2.152
90,eP090,phrase,Cue: Dance!,Cues,Dance,3.033
91,eP091,phrase,Cue: Dance!,Cues,Dance,3.104
92,eP092,phrase,Cue: Dance!,Cues,Dance,2.867
93,eP093,phrase,Cue: Dance!,Cues,Dance,3.190
94,eP094,phrase,Cue: Dance!,Cues,Dance,1.736
95,eP095,phrase,Cue: Dance!,Cues,Dance,2.617
96,eP096,phrase,Cue: Dance!,Cues,Dance,2.688
97,eP097,phrase,Cue: Dance!,Cues,Dance,2.451
98,eP098,phrase,Cue: Dance!,Cues,Dance,1.955
99,eP099,phrase,Cue: Dance!,Cues,Dance,2.836
100,eP100,phrase,Cue: Dance!,Cues,Dance,2.907
101,eP101,phrase,Cue: Dance!,Cues,Dance,2.775
102,eP102,phrase,Cue: Dance!,Cues,Dance,3.011
103,eP103,phrase,Cue: Dance!,Cues,Dance,3.732
