phrase,index,category,hl_sequence,seconds
eP001,1,Wake,eHLS_Wake_1,1.623
eP002,2,Wake,eHLS_Wake_2,2.657
eP003,3,App,eHLS_App_alt_1,2.656
eP004,4,Wake,eHLS_Wake_4,1.326
eP005,5,Wake,eHLS_Wake_5,1.749
eP006,6,IdlePhrase,eHLS_IdlePhrase_27,3.185
eP008,8,IdlePhrase,eHLS_IdlePhrase_2,2.594
eP009,9,IdlePhrase,eHLS_IdlePhrase_3,1.805
eP010,10,App,eHLS_App_alt_2,2.258
eP011,11,IdlePhrase,eHLS_IdlePhrase_5,3.737
eP012,12,IdlePhrase,eHLS_IdlePhrase_6,5.369
eP013,13,IdlePhrase,eHLS_IdlePhrase_7,5.195
eP014,14,IdlePhrase,eHLS_IdlePhrase_8,2.130
eP015,15,IdlePhrase,eHLS_IdlePhrase_9,2.030
eP016,16,IdlePhrase,eHLS_IdlePhrase_10,1.135
eP017,17,App,eHLS_App_alt_3,1.843
eP018,18,IdlePhrase,eHLS_IdlePhrase_12,2.982
eP019,19,IdlePhrase,eHLS_IdlePhrase_13,3.499
eP020,20,IdlePhrase,eHLS_IdlePhrase_14,4.471
eP021,21,IdlePhrase,eHLS_IdlePhrase_15,3.266
eP022,22,IdlePhrase,eHLS_IdlePhrase_16,3.938
eP023,23,IdlePhrase,eHLS_IdlePhrase_17,3.822
eP024,24,IdlePhrase,eHLS_IdlePhrase_18,3.455
eP025,25,IdlePhrase,eHLS_IdlePhrase_19,4.739
eP026,26,IdlePhrase,eHLS_IdlePhrase_20,4.367
eP027,27,App,eHLS_App_alt_4,4.558
eP028,28,IdlePhrase,eHLS_IdlePhrase_22,4.403
eP029,29,IdlePhrase,eHLS_IdlePhrase_23,4.840
eP031,31,IdleInstruct,eHLS_IdleInstruct_1,4.867
eP032,32,IdleInstruct,eHLS_IdleInstruct_2,2.750
eP033,33,App,eHLS_App_alt_5,4.916
eP037,37,Sleep,eHLS_Sleep_1,2.498
eP038,38,Sleep,eHLS_Sleep_2,3.078
eP039,39,Sleep,eHLS_Sleep_3,3.291
eP040,40,Sleep,eHLS_Sleep_4,4.028
eP041,41,Sleep,eHLS_Sleep_5,3.824
eP042,42,Sleep,eHLS_Sleep_6,2.812
eP043,43,Sleep,eHLS_Sleep_7,3.697
eP060,60,ConnectStart,eHLS_ConnectStart_1,2.222
eP061,61,ConnectStart,eHLS_ConnectStart_2,1.989
eP062,62,ConnectStart,eHLS_ConnectStart_3,1.202
eP063,63,ConnectStart,eHLS_ConnectStart_4,1.284
eP064,64,ConnectStart,eHLS_ConnectStart_5,2.744
eP065,65,App,eHLS_App_alt_26,4.037
eP066,66,App,eHLS_App_alt_27,3.166
eP067,67,App,eHLS_App_alt_28,3.414
eP068,68,App,eHLS_App_alt_29,2.022
eP069,69,App,eHLS_App_alt_30,2.973
eP070,70,DanceIntro,eHLS_DanceIntro_1,1.228
eP071,71,DanceIntro,eHLS_DanceIntro_2,1.264
eP072,72,DanceIntro,eHLS_DanceIntro_3,1.761
eP084,84,DanceInstruct,eHLS_DanceInstruct_1,1.638
eP085,85,DanceInstruct,eHLS_DanceInstruct_1First,2.579
eP086,86,DanceInstruct,eHLS_DanceInstruct_1Final,2.590
